"","region","category","language","mother_tongue","most_at_home","most_at_work","lang_known"
"1985","Winnipeg","Non-Official & Non-Aboriginal languages","Ewe",30,10,0,50
"1986","Regina","Non-Official & Non-Aboriginal languages","Ewe",30,5,0,35
"1987","Saskatoon","Non-Official & Non-Aboriginal languages","Ewe",15,5,0,50
"1988","Lethbridge","Non-Official & Non-Aboriginal languages","Ewe",25,15,0,70
"1989","Calgary","Non-Official & Non-Aboriginal languages","Ewe",60,15,0,75
"1990","Edmonton","Non-Official & Non-Aboriginal languages","Ewe",125,40,0,160
"1991","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Ewe",170,30,0,375
"1992","Kelowna","Non-Official & Non-Aboriginal languages","Ewe",5,0,0,0
"1993","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Ewe",5,0,0,10
"1994","Vancouver","Non-Official & Non-Aboriginal languages","Ewe",60,15,0,115
"1995","Victoria","Non-Official & Non-Aboriginal languages","Ewe",5,0,0,10
"1996","St. John's","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"1997","Halifax","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"1998","Moncton","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"1999","Saint John","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2000","Saguenay","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2001","Québec","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2002","Sherbrooke","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2003","Trois-Rivières","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2004","Montréal","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,10
"2005","Kingston","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2006","Belleville","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2007","Peterborough","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2008","Oshawa","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2009","Toronto","Non-Official & Non-Aboriginal languages","Fijian",55,10,0,50
"2010","Hamilton","Non-Official & Non-Aboriginal languages","Fijian",5,5,0,40
"2011","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2012","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2013","Brantford","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2014","Guelph","Non-Official & Non-Aboriginal languages","Fijian",5,5,0,0
"2015","London","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2016","Windsor","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2017","Barrie","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2018","Greater Sudbury","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2019","Thunder Bay","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2020","Winnipeg","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2021","Regina","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,0
"2022","Saskatoon","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2023","Lethbridge","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2024","Calgary","Non-Official & Non-Aboriginal languages","Fijian",45,20,0,140
"2025","Edmonton","Non-Official & Non-Aboriginal languages","Fijian",55,25,0,145
"2026","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Fijian",0,0,0,10
"2027","Kelowna","Non-Official & Non-Aboriginal languages","Fijian",5,0,0,0
"2028","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Fijian",20,5,0,25
"2029","Vancouver","Non-Official & Non-Aboriginal languages","Fijian",390,100,0,985
"2030","Victoria","Non-Official & Non-Aboriginal languages","Fijian",10,0,0,10
"2031","St. John's","Non-Official & Non-Aboriginal languages","Finnish",10,5,0,10
"2032","Halifax","Non-Official & Non-Aboriginal languages","Finnish",35,5,0,50
"2033","Moncton","Non-Official & Non-Aboriginal languages","Finnish",5,0,0,0
"2034","Saint John","Non-Official & Non-Aboriginal languages","Finnish",10,0,0,10
"2035","Saguenay","Non-Official & Non-Aboriginal languages","Finnish",5,5,0,10
"2036","Québec","Non-Official & Non-Aboriginal languages","Finnish",15,5,0,40
"2037","Sherbrooke","Non-Official & Non-Aboriginal languages","Finnish",0,0,0,15
"2038","Trois-Rivières","Non-Official & Non-Aboriginal languages","Finnish",0,0,0,0
"2039","Montréal","Non-Official & Non-Aboriginal languages","Finnish",290,40,0,370
"2040","Kingston","Non-Official & Non-Aboriginal languages","Finnish",65,5,0,135
"2041","Belleville","Non-Official & Non-Aboriginal languages","Finnish",45,15,0,55
"2042","Peterborough","Non-Official & Non-Aboriginal languages","Finnish",65,10,0,85
"2043","Oshawa","Non-Official & Non-Aboriginal languages","Finnish",150,15,0,145
"2044","Toronto","Non-Official & Non-Aboriginal languages","Finnish",2515,510,45,2830
"2045","Hamilton","Non-Official & Non-Aboriginal languages","Finnish",185,25,0,220
"2046","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Finnish",130,15,10,180
"2047","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Finnish",150,10,0,140
"2048","Brantford","Non-Official & Non-Aboriginal languages","Finnish",20,0,0,45
"2049","Guelph","Non-Official & Non-Aboriginal languages","Finnish",55,10,0,55
"2050","London","Non-Official & Non-Aboriginal languages","Finnish",115,10,10,120
"2051","Windsor","Non-Official & Non-Aboriginal languages","Finnish",95,20,0,110
"2052","Barrie","Non-Official & Non-Aboriginal languages","Finnish",185,25,0,185
"2053","Greater Sudbury","Non-Official & Non-Aboriginal languages","Finnish",1255,280,15,1450
"2054","Thunder Bay","Non-Official & Non-Aboriginal languages","Finnish",1815,445,0,2125
"2055","Winnipeg","Non-Official & Non-Aboriginal languages","Finnish",135,20,0,145
"2056","Regina","Non-Official & Non-Aboriginal languages","Finnish",30,5,0,30
"2057","Saskatoon","Non-Official & Non-Aboriginal languages","Finnish",55,10,0,165
"2058","Lethbridge","Non-Official & Non-Aboriginal languages","Finnish",30,0,0,70
"2059","Calgary","Non-Official & Non-Aboriginal languages","Finnish",325,50,0,350
"2060","Edmonton","Non-Official & Non-Aboriginal languages","Finnish",230,30,0,415
"2061","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Finnish",335,40,10,520
"2062","Kelowna","Non-Official & Non-Aboriginal languages","Finnish",175,25,0,175
"2063","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Finnish",150,30,0,170
"2064","Vancouver","Non-Official & Non-Aboriginal languages","Finnish",1900,430,20,2090
"2065","Victoria","Non-Official & Non-Aboriginal languages","Finnish",255,30,0,215
"2066","St. John's","Official languages","French",970,440,590,16390
"2067","Halifax","Official languages","French",10145,3665,1525,49665
"2068","Moncton","Official languages","French",48735,39680,14005,70935
"2069","Saint John","Official languages","French",5100,1920,715,18905
"2070","Saguenay","Official languages","French",156065,157095,82730,156865
"2071","Québec","Official languages","French",741010,754830,443465,775365
"2072","Sherbrooke","Official languages","French",185940,189315,105715,201530
"2073","Trois-Rivières","Official languages","French",147805,149835,78610,149805
"2074","Montréal","Official languages","French",2551955,2669195,1607550,3663310
"2075","Kingston","Official languages","French",5065,2435,795,19470
"2076","Belleville","Official languages","French",2675,1295,290,7490
"2077","Peterborough","Official languages","French",1270,340,250,8560
"2078","Oshawa","Official languages","French",6540,2430,1065,27645
"2079","Toronto","Official languages","French",65530,29800,11940,466820
"2080","Hamilton","Official languages","French",9935,3355,1630,48575
"2081","St. Catharines - Niagara","Official languages","French",12055,3445,1440,31995
"2082","Kitchener - Cambridge - Waterloo","Official languages","French",5870,1650,895,34335
"2083","Brantford","Official languages","French",1285,300,205,5995
"2084","Guelph","Official languages","French",1865,580,420,13250
"2085","London","Official languages","French",5780,1735,1350,33025
"2086","Windsor","Official languages","French",9580,2695,1555,34245
"2087","Barrie","Official languages","French",3790,1315,665,12760
"2088","Greater Sudbury","Official languages","French",41865,21265,4240,64110
"2089","Thunder Bay","Official languages","French",2680,830,390,9150
"2090","Winnipeg","Official languages","French",26710,11185,4580,79850
"2091","Regina","Official languages","French",2615,1025,665,14010
"2092","Saskatoon","Official languages","French",3870,1110,560,17895
"2093","Lethbridge","Official languages","French",1065,310,115,5240
"2094","Calgary","Official languages","French",20720,8630,2140,101440
"2095","Edmonton","Official languages","French",27100,10950,2520,96065
"2096","Ottawa - Gatineau","Official languages","French",397120,353425,143360,691235
"2097","Kelowna","Official languages","French",3100,720,280,12840
"2098","Abbotsford - Mission","Official languages","French",1415,250,150,8255
"2099","Vancouver","Official languages","French",25005,8630,3245,172260
"2100","Victoria","Official languages","French",6055,1840,640,36220
"2101","St. John's","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,0
"2102","Halifax","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,10
"2103","Moncton","Non-Official & Non-Aboriginal languages","Frisian",10,0,0,0
"2104","Saint John","Non-Official & Non-Aboriginal languages","Frisian",5,0,0,10
"2105","Saguenay","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,0
"2106","Québec","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,0
"2107","Sherbrooke","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,0
"2108","Trois-Rivières","Non-Official & Non-Aboriginal languages","Frisian",0,0,0,0
"2109","Montréal","Non-Official & Non-Aboriginal languages","Frisian",10,0,0,0
"2110","Kingston","Non-Official & Non-Aboriginal languages","Frisian",30,0,0,20
"2111","Belleville","Non-Official & Non-Aboriginal languages","Frisian",25,0,0,30
"2112","Peterborough","Non-Official & Non-Aboriginal languages","Frisian",20,0,0,15
"2113","Oshawa","Non-Official & Non-Aboriginal languages","Frisian",65,5,0,70
"2114","Toronto","Non-Official & Non-Aboriginal languages","Frisian",135,5,0,195
"2115","Hamilton","Non-Official & Non-Aboriginal languages","Frisian",90,5,0,160
"2116","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Frisian",70,5,0,95
"2117","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Frisian",35,0,0,50
"2118","Brantford","Non-Official & Non-Aboriginal languages","Frisian",35,10,0,25
"2119","Guelph","Non-Official & Non-Aboriginal languages","Frisian",30,0,0,15
"2120","London","Non-Official & Non-Aboriginal languages","Frisian",85,5,0,115
"2121","Windsor","Non-Official & Non-Aboriginal languages","Frisian",5,5,0,15
"2122","Barrie","Non-Official & Non-Aboriginal languages","Frisian",15,0,0,20
"2123","Greater Sudbury","Non-Official & Non-Aboriginal languages","Frisian",5,0,0,0
"2124","Thunder Bay","Non-Official & Non-Aboriginal languages","Frisian",10,5,0,25
"2125","Winnipeg","Non-Official & Non-Aboriginal languages","Frisian",30,0,0,70
"2126","Regina","Non-Official & Non-Aboriginal languages","Frisian",5,0,0,0
"2127","Saskatoon","Non-Official & Non-Aboriginal languages","Frisian",5,0,0,10
"2128","Lethbridge","Non-Official & Non-Aboriginal languages","Frisian",30,0,0,45
"2129","Calgary","Non-Official & Non-Aboriginal languages","Frisian",40,5,0,65
"2130","Edmonton","Non-Official & Non-Aboriginal languages","Frisian",95,5,0,95
"2131","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Frisian",50,5,0,75
"2132","Kelowna","Non-Official & Non-Aboriginal languages","Frisian",10,0,0,15
"2133","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Frisian",35,0,0,40
"2134","Vancouver","Non-Official & Non-Aboriginal languages","Frisian",80,5,0,125
"2135","Victoria","Non-Official & Non-Aboriginal languages","Frisian",20,0,0,60
"2136","St. John's","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2137","Halifax","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,10
"2138","Moncton","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",40,15,0,90
"2139","Saint John","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2140","Saguenay","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,10
"2141","Québec","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",160,20,0,260
"2142","Sherbrooke","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,15
"2143","Trois-Rivières","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,15
"2144","Montréal","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",1625,445,0,2730
"2145","Kingston","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2146","Belleville","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2147","Peterborough","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2148","Oshawa","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",10,5,0,10
"2149","Toronto","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",225,75,0,485
"2150","Hamilton","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",10,5,0,20
"2151","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2152","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2153","Brantford","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,10
"2154","Guelph","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2155","London","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,10
"2156","Windsor","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,0
"2157","Barrie","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2158","Greater Sudbury","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",10,0,0,0
"2159","Thunder Bay","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,10
"2160","Winnipeg","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",60,35,0,50
"2161","Regina","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",10,10,0,0
"2162","Saskatoon","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",15,0,0,20
"2163","Lethbridge","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0
"2164","Calgary","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",80,45,0,135
"2165","Edmonton","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",140,55,0,155
"2166","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",260,60,0,435
"2167","Kelowna","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,10
"2168","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",0,0,0,10
"2169","Vancouver","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",15,0,0,50
"2170","Victoria","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",5,0,0,0
"2171","St. John's","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2172","Halifax","Non-Official & Non-Aboriginal languages","Ga",10,5,0,25
"2173","Moncton","Non-Official & Non-Aboriginal languages","Ga",0,0,0,10
"2174","Saint John","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2175","Saguenay","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2176","Québec","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2177","Sherbrooke","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2178","Trois-Rivières","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2179","Montréal","Non-Official & Non-Aboriginal languages","Ga",80,15,0,285
"2180","Kingston","Non-Official & Non-Aboriginal languages","Ga",5,0,0,15
"2181","Belleville","Non-Official & Non-Aboriginal languages","Ga",5,5,0,0
"2182","Peterborough","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2183","Oshawa","Non-Official & Non-Aboriginal languages","Ga",10,0,0,20
"2184","Toronto","Non-Official & Non-Aboriginal languages","Ga",445,145,0,1010
"2185","Hamilton","Non-Official & Non-Aboriginal languages","Ga",30,5,0,60
"2186","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Ga",5,0,0,25
"2187","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Ga",10,0,0,15
"2188","Brantford","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2189","Guelph","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2190","London","Non-Official & Non-Aboriginal languages","Ga",15,5,0,20
"2191","Windsor","Non-Official & Non-Aboriginal languages","Ga",10,0,0,0
"2192","Barrie","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2193","Greater Sudbury","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2194","Thunder Bay","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2195","Winnipeg","Non-Official & Non-Aboriginal languages","Ga",15,0,0,15
"2196","Regina","Non-Official & Non-Aboriginal languages","Ga",5,0,0,0
"2197","Saskatoon","Non-Official & Non-Aboriginal languages","Ga",15,0,0,30
"2198","Lethbridge","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2199","Calgary","Non-Official & Non-Aboriginal languages","Ga",65,20,0,110
"2200","Edmonton","Non-Official & Non-Aboriginal languages","Ga",65,15,0,195
"2201","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Ga",60,15,0,185
"2202","Kelowna","Non-Official & Non-Aboriginal languages","Ga",0,0,0,20
"2203","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Ga",0,0,0,0
"2204","Vancouver","Non-Official & Non-Aboriginal languages","Ga",30,0,0,90
"2205","Victoria","Non-Official & Non-Aboriginal languages","Ga",5,0,0,0
"2206","St. John's","Non-Official & Non-Aboriginal languages","Ganda",5,5,0,55
"2207","Halifax","Non-Official & Non-Aboriginal languages","Ganda",20,0,0,55
"2208","Moncton","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,10
"2209","Saint John","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2210","Saguenay","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2211","Québec","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,10
"2212","Sherbrooke","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2213","Trois-Rivières","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2214","Montréal","Non-Official & Non-Aboriginal languages","Ganda",15,0,0,55
"2215","Kingston","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,0
"2216","Belleville","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2217","Peterborough","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2218","Oshawa","Non-Official & Non-Aboriginal languages","Ganda",10,5,0,0
"2219","Toronto","Non-Official & Non-Aboriginal languages","Ganda",515,155,20,860
"2220","Hamilton","Non-Official & Non-Aboriginal languages","Ganda",35,5,0,50
"2221","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,15
"2222","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Ganda",10,5,0,25
"2223","Brantford","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,0
"2224","Guelph","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2225","London","Non-Official & Non-Aboriginal languages","Ganda",20,5,0,30
"2226","Windsor","Non-Official & Non-Aboriginal languages","Ganda",20,5,0,10
"2227","Barrie","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2228","Greater Sudbury","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,0
"2229","Thunder Bay","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2230","Winnipeg","Non-Official & Non-Aboriginal languages","Ganda",40,5,0,185
"2231","Regina","Non-Official & Non-Aboriginal languages","Ganda",25,5,0,20
"2232","Saskatoon","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,0
"2233","Lethbridge","Non-Official & Non-Aboriginal languages","Ganda",0,0,0,0
"2234","Calgary","Non-Official & Non-Aboriginal languages","Ganda",40,5,0,75
"2235","Edmonton","Non-Official & Non-Aboriginal languages","Ganda",210,80,0,430
"2236","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Ganda",135,30,0,225
"2237","Kelowna","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,0
"2238","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Ganda",5,0,0,10
"2239","Vancouver","Non-Official & Non-Aboriginal languages","Ganda",65,5,0,110
"2240","Victoria","Non-Official & Non-Aboriginal languages","Ganda",10,5,0,25
"2241","St. John's","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2242","Halifax","Non-Official & Non-Aboriginal languages","Georgian",5,0,0,10
"2243","Moncton","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2244","Saint John","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2245","Saguenay","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2246","Québec","Non-Official & Non-Aboriginal languages","Georgian",5,0,0,10
"2247","Sherbrooke","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2248","Trois-Rivières","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2249","Montréal","Non-Official & Non-Aboriginal languages","Georgian",160,70,10,200
"2250","Kingston","Non-Official & Non-Aboriginal languages","Georgian",10,5,0,10
"2251","Belleville","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2252","Peterborough","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2253","Oshawa","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2254","Toronto","Non-Official & Non-Aboriginal languages","Georgian",1110,745,10,1465
"2255","Hamilton","Non-Official & Non-Aboriginal languages","Georgian",15,10,0,0
"2256","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Georgian",10,0,0,15
"2257","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Georgian",5,0,0,10
"2258","Brantford","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2259","Guelph","Non-Official & Non-Aboriginal languages","Georgian",10,10,0,0
"2260","London","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,10
"2261","Windsor","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2262","Barrie","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2263","Greater Sudbury","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2264","Thunder Bay","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2265","Winnipeg","Non-Official & Non-Aboriginal languages","Georgian",20,10,0,10
"2266","Regina","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2267","Saskatoon","Non-Official & Non-Aboriginal languages","Georgian",5,0,0,0
"2268","Lethbridge","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,0
"2269","Calgary","Non-Official & Non-Aboriginal languages","Georgian",130,80,0,140
"2270","Edmonton","Non-Official & Non-Aboriginal languages","Georgian",70,55,0,60
"2271","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Georgian",40,5,10,45
"2272","Kelowna","Non-Official & Non-Aboriginal languages","Georgian",5,5,0,0
"2273","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Georgian",0,0,0,10
"2274","Vancouver","Non-Official & Non-Aboriginal languages","Georgian",65,15,0,90
"2275","Victoria","Non-Official & Non-Aboriginal languages","Georgian",10,0,0,10
"2276","St. John's","Non-Official & Non-Aboriginal languages","German",215,45,10,870
"2277","Halifax","Non-Official & Non-Aboriginal languages","German",1205,235,25,3010
"2278","Moncton","Non-Official & Non-Aboriginal languages","German",225,50,10,555
"2279","Saint John","Non-Official & Non-Aboriginal languages","German",165,10,0,440
"2280","Saguenay","Non-Official & Non-Aboriginal languages","German",35,5,0,275
"2281","Québec","Non-Official & Non-Aboriginal languages","German",555,90,15,3650
"2282","Sherbrooke","Non-Official & Non-Aboriginal languages","German",235,55,0,875
"2283","Trois-Rivières","Non-Official & Non-Aboriginal languages","German",105,20,0,340
"2284","Montréal","Non-Official & Non-Aboriginal languages","German",9235,1585,205,30070
"2285","Kingston","Non-Official & Non-Aboriginal languages","German",1030,95,15,2120
"2286","Belleville","Non-Official & Non-Aboriginal languages","German",635,120,0,915
"2287","Peterborough","Non-Official & Non-Aboriginal languages","German",795,100,0,1125
"2288","Oshawa","Non-Official & Non-Aboriginal languages","German",2110,180,10,3040
"2289","Toronto","Non-Official & Non-Aboriginal languages","German",29425,3585,240,55040
"2290","Hamilton","Non-Official & Non-Aboriginal languages","German",5705,630,0,8925
"2291","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","German",5675,950,70,7005
"2292","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","German",11685,3175,775,15355
"2293","Brantford","Non-Official & Non-Aboriginal languages","German",815,80,0,1105
"2294","Guelph","Non-Official & Non-Aboriginal languages","German",1250,150,10,2170
"2295","London","Non-Official & Non-Aboriginal languages","German",3980,605,80,5930
"2296","Windsor","Non-Official & Non-Aboriginal languages","German",1955,275,10,2980
"2297","Barrie","Non-Official & Non-Aboriginal languages","German",1485,155,0,2045
"2298","Greater Sudbury","Non-Official & Non-Aboriginal languages","German",680,75,0,900
"2299","Thunder Bay","Non-Official & Non-Aboriginal languages","German",685,50,10,910
"2300","Winnipeg","Non-Official & Non-Aboriginal languages","German",17590,3000,120,20370
"2301","Regina","Non-Official & Non-Aboriginal languages","German",2530,330,10,2615
"2302","Saskatoon","Non-Official & Non-Aboriginal languages","German",5020,705,10,5620
"2303","Lethbridge","Non-Official & Non-Aboriginal languages","German",4500,2225,10,4115
"2304","Calgary","Non-Official & Non-Aboriginal languages","German",11865,1540,75,19075
"2305","Edmonton","Non-Official & Non-Aboriginal languages","German",14760,2315,65,20990
"2306","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","German",6240,780,115,14700
"2307","Kelowna","Non-Official & Non-Aboriginal languages","German",5495,855,25,6865
"2308","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","German",5055,675,25,5580
"2309","Vancouver","Non-Official & Non-Aboriginal languages","German",24060,2895,210,38660
"2310","Victoria","Non-Official & Non-Aboriginal languages","German",4325,535,20,7715
"2311","St. John's","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",0,0,0,10
"2312","Halifax","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",5,0,0,10
"2313","Moncton","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",0,0,0,0
"2314","Saint John","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",0,0,0,0
"2315","Saguenay","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",0,0,0,0
