,genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
203,nonfiction,"Amazon Digital Services,  Inc.",2.808,2.808,14.04,8.424,1,(Small or Medium Publisher),small/medium,0.0,14.04,97916,0
204,nonfiction,"Amazon Digital Services,  Inc.",8.991,20.979,29.97,0.0,3,(Indie Publisher),indie,2.5,9.99,64096,4
205,genre fiction,"Amazon Digital Services,  Inc.",2.496,2.496,12.48,7.488,3,(Small or Medium Publisher),small/medium,4.5,4.16,65310,16
206,genre fiction,HarperCollins Publishers,12.144,12.144,60.72,36.432,8,William Morrow Paperbacks,big five,3.88,7.59,34552,44
207,nonfiction,"Amazon Digital Services,  Inc.",21.978,21.978,109.89,65.934,11,(Small or Medium Publisher),small/medium,4.25,9.99,24664,35
208,genre fiction,"Amazon Digital Services,  Inc.",3.582,3.582,17.91,10.746,9,(Single-Author Publisher),single author,3.85,1.99,32593,27
209,nonfiction,Penguin Group (USA) LLC,3.996,3.996,19.98,11.988,2,Prentice Hall Press,big five,5.0,9.99,81352,13
210,nonfiction,"Amazon Digital Services,  Inc.",16.434,38.346,54.78,0.0,11,(Indie Publisher),indie,3.35,4.98,23084,20
211,children,Random House LLC,1.352,1.352,6.76,4.056,2,Random House Books for Young Readers,big five,3.98,3.38,76854,71
212,nonfiction,Penguin Group (USA) LLC,246.092,246.092,1230.46,738.276,154,Penguin Books,big five,3.9,7.99,591,399
213,nonfiction,"Amazon Digital Services,  Inc.",119.028,119.028,595.14,357.084,78,(Small or Medium Publisher),small/medium,4.35,7.63,2565,257
214,genre fiction,"Amazon Digital Services,  Inc.",11.172,11.172,55.86,33.516,14,(Small or Medium Publisher),small/medium,4.76,3.99,10508,47
215,genre fiction,"Amazon Digital Services,  Inc.",3.092,3.092,15.46,9.276,2,(Small or Medium Publisher),small/medium,4.5,7.73,76321,20
216,nonfiction,"Amazon Digital Services,  Inc.",3.504,3.504,17.52,10.512,4,(Single-Author Publisher),single author,4.94,4.38,62373,17
217,genre fiction,"Amazon Digital Services,  Inc.",7.485,17.465,24.95,0.0,5,(Indie Publisher),indie,4.46,4.99,47784,13
218,nonfiction,"Amazon Digital Services,  Inc.",7.99,7.99,39.95,23.97,5,(Single-Author Publisher),single author,3.81,7.99,46046,11
219,nonfiction,"Amazon Digital Services,  Inc.",13.986,13.986,69.93,41.958,7,(Small or Medium Publisher),small/medium,4.56,9.99,39632,65
220,nonfiction,"Amazon Digital Services,  Inc.",1.794,1.794,8.97,5.382,3,(Small or Medium Publisher),small/medium,3.83,2.99,74841,18
221,genre fiction,Penguin Group (USA) LLC,191.84,191.84,959.2,575.52,80,Dutton Adult,big five,0.0,11.99,2461,0
222,children,Simon and Schuster Digital Sales Inc,5.862,5.862,29.31,17.586,3,Aladdin,big five,4.87,9.77,73480,8
223,genre fiction,"Amazon Digital Services,  Inc.",3.192,3.192,15.96,9.576,4,(Single-Author Publisher),single author,3.87,3.99,52151,16
224,nonfiction,"Amazon Digital Services,  Inc.",7.176,16.744,23.92,0.0,8,(Indie Publisher),indie,4.5,2.99,35020,10
225,genre fiction,"Amazon Digital Services,  Inc.",140.049,326.781,466.83,0.0,117,(Indie Publisher),indie,0.0,3.99,826,0
226,genre fiction,"Amazon Digital Services,  Inc.",2.376,2.376,11.88,7.128,12,(Single-Author Publisher),single author,3.53,0.99,19014,30
227,nonfiction,"Amazon Digital Services,  Inc.",9.5,9.5,47.5,28.5,5,(Small or Medium Publisher),small/medium,4.34,9.5,47383,70
228,genre fiction,"Amazon Digital Services,  Inc.",23.364,23.364,116.82,70.092,118,(Small or Medium Publisher),small/medium,4.31,0.99,792,16
229,genre fiction,"Amazon Digital Services,  Inc.",12.912,12.912,64.56,38.736,12,(Small or Medium Publisher),small/medium,4.14,5.38,19856,34
230,nonfiction,HarperCollins Publishers,2.97,2.97,14.85,8.91,15,HarperCollins e-books,big five,4.27,0.99,9596,70
231,nonfiction,"Amazon Digital Services,  Inc.",2.574,1.386,3.96,0.0,4,(Indie Publisher),indie,4.03,0.99,54535,114
232,nonfiction,"Amazon Digital Services,  Inc.",5.46,5.46,27.3,16.38,3,(Small or Medium Publisher),small/medium,3.89,9.1,70753,49
233,nonfiction,Penguin Group (USA) LLC,14.99,14.99,74.95,44.97,5,The Penguin Press,big five,2.98,14.99,48600,57
234,genre fiction,HarperCollins Publishers,107.784,107.784,538.92,323.352,108,HarperCollins,big five,4.31,4.99,1197,1107
235,foreign language,"Amazon Digital Services,  Inc.",1.197,2.793,3.99,0.0,1,(Indie Publisher),indie,0.0,3.99,89304,0
236,genre fiction,"Amazon Digital Services,  Inc.",3.032,3.032,15.16,9.096,4,(Small or Medium Publisher),small/medium,4.53,3.79,61671,15
237,nonfiction,"Amazon Digital Services,  Inc.",0.6435,0.3465,0.99,0.0,1,(Indie Publisher),indie,0.0,0.99,99973,0
238,nonfiction,HarperCollins Publishers,5.436,5.436,27.18,16.308,2,Broadside e-books,big five,4.09,13.59,80618,111
239,genre fiction,"Amazon Digital Services,  Inc.",14.157,7.623,21.78,0.0,22,(Indie Publisher),indie,4.65,0.99,6704,32
240,genre fiction,"Amazon Digital Services,  Inc.",3.056,3.056,15.28,9.168,4,(Small or Medium Publisher),small/medium,4.25,3.82,55986,8
241,fiction,Penguin Group (USA) LLC,22.762,22.762,113.81,68.286,19,Berkley,big five,4.33,5.99,7827,15
242,nonfiction,Random House LLC,8.792,8.792,43.96,26.376,4,Ballantine Books,big five,4.39,10.99,61651,113
243,genre fiction,"Amazon Digital Services,  Inc.",41.496,41.496,207.48,124.488,52,(Small or Medium Publisher),small/medium,4.71,3.99,3976,245
244,nonfiction,"Amazon Digital Services,  Inc.",1.998,1.998,9.99,5.994,1,(Small or Medium Publisher),small/medium,3.96,9.99,91106,30
245,comics,"Amazon Digital Services,  Inc.",3.184,3.184,15.92,9.552,8,(Small or Medium Publisher),small/medium,2.75,1.99,35615,4
246,genre fiction,Penguin Group (USA) LLC,60.724,60.724,303.62,182.172,38,Signet,big five,4.53,7.99,4728,218
247,genre fiction,Macmillan,17.758,17.758,88.79,53.274,13,Thomas Dunne Books,big five,4.39,6.83,15922,93
248,genre fiction,Simon and Schuster Digital Sales Inc,2.134,2.134,10.67,6.402,1,Pocket Books/Star Trek,big five,4.38,10.67,95525,54
249,nonfiction,Random House LLC,9.592,9.592,47.96,28.776,4,Vintage,big five,4.58,11.99,53343,84
250,genre fiction,"Amazon Digital Services,  Inc.",2.994,2.994,14.97,8.982,3,(Single-Author Publisher),single author,4.51,4.99,66425,35
251,nonfiction,"Amazon Digital Services,  Inc.",7.792,7.792,38.96,23.376,2,(Small or Medium Publisher),small/medium,4.33,19.48,77382,3
252,genre fiction,"Amazon Digital Services,  Inc.",7.176,7.176,35.88,21.528,12,(Small or Medium Publisher),small/medium,0.0,2.99,18167,0
253,nonfiction,"Amazon Digital Services,  Inc.",19.461,45.409,64.87,0.0,13,(Indie Publisher),indie,4.25,4.99,17225,59
254,nonfiction,"Amazon Digital Services,  Inc.",1.794,4.186,5.98,0.0,2,(Indie Publisher),indie,4.0,2.99,75911,1
255,nonfiction,Random House LLC,25.974,25.974,129.87,77.922,13,Ballantine Books,big five,4.59,9.99,14871,205
256,nonfiction,"Amazon Digital Services,  Inc.",3.594,8.386,11.98,0.0,2,(Indie Publisher),indie,4.5,5.99,82637,4
257,nonfiction,"Amazon Digital Services,  Inc.",5.5965,3.0135,8.61,0.0,3,(Indie Publisher),indie,2.0,2.87,65521,1
258,children,Hachette Book Group,24.892,24.892,124.46,74.676,14,"Little, Brown Books for Young Readers",big five,0.0,8.89,13499,0
259,genre fiction,"Amazon Digital Services,  Inc.",1.95,1.95,9.75,5.85,1,(Small or Medium Publisher),small/medium,4.47,9.75,96212,19
260,genre fiction,"Amazon Digital Services,  Inc.",61.893,144.417,206.31,0.0,69,(Indie Publisher),indie,4.61,2.99,3002,71
261,nonfiction,"Amazon Digital Services,  Inc.",1.782,1.782,8.91,5.346,9,(Small or Medium Publisher),small/medium,3.66,0.99,32611,18
262,nonfiction,"Amazon Digital Services,  Inc.",11.988,11.988,59.94,35.964,6,(Small or Medium Publisher),small/medium,4.8,9.99,44756,114
263,children,Random House LLC,35.94,35.94,179.7,107.82,30,Delacorte Books for Young Readers,big five,4.46,5.99,5217,679
264,children,HarperCollins Publishers,1.704,1.704,8.52,5.112,2,HarperCollins,big five,4.2,4.26,75215,15
265,nonfiction,"Amazon Digital Services,  Inc.",4.186,4.186,20.93,12.558,7,(Single-Author Publisher),single author,4.28,2.99,40289,14
266,genre fiction,"Amazon Digital Services,  Inc.",80.7,80.7,403.5,242.1,75,(Small or Medium Publisher),small/medium,4.59,5.38,2705,10
267,nonfiction,Random House LLC,7.99,7.99,39.95,23.97,5,Broadway Books,big five,4.2,7.99,46799,272
268,nonfiction,Penguin Group (USA) LLC,7.816,7.816,39.08,23.448,4,Alpha,big five,4.29,9.77,60533,27
269,nonfiction,"Amazon Digital Services,  Inc.",1.194,1.194,5.97,3.582,3,(Single-Author Publisher),single author,4.0,1.99,69330,1
270,nonfiction,"Amazon Digital Services,  Inc.",7.176,7.176,35.88,21.528,12,(Small or Medium Publisher),small/medium,3.92,2.99,19530,51
271,nonfiction,"Amazon Digital Services,  Inc.",2.994,2.994,14.97,8.982,3,(Single-Author Publisher),single author,4.88,4.99,73617,27
272,nonfiction,"Amazon Digital Services,  Inc.",0.792,0.792,3.96,2.376,4,(Single-Author Publisher),single author,4.62,0.99,53103,32
273,genre fiction,"Amazon Digital Services,  Inc.",6.792,6.792,33.96,20.376,4,(Small or Medium Publisher),small/medium,4.74,8.49,56242,89
274,genre fiction,"Amazon Digital Services,  Inc.",20.631,48.139,68.77,0.0,23,(Indie Publisher),indie,4.66,2.99,6103,248
275,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Small or Medium Publisher),small/medium,4.36,9.99,70176,50
276,genre fiction,Random House LLC,161.73,161.73,808.65,485.19,135,Bantam,big five,4.37,5.99,681,1091
277,nonfiction,"Amazon Digital Services,  Inc.",5.094,5.094,25.47,15.282,3,(Small or Medium Publisher),small/medium,4.45,8.49,71871,73
278,nonfiction,"Amazon Digital Services,  Inc.",5.454,5.454,27.27,16.362,9,(Small or Medium Publisher),small/medium,4.16,3.03,33448,139
279,nonfiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,3.81,2.99,33930,11
280,genre fiction,"Amazon Digital Services,  Inc.",1.596,1.596,7.98,4.788,2,(Single-Author Publisher),single author,3.95,3.99,77833,24
281,nonfiction,"Amazon Digital Services,  Inc.",13.178,13.178,65.89,39.534,11,(Small or Medium Publisher),small/medium,4.5,5.99,23682,2
282,genre fiction,"Amazon Digital Services,  Inc.",20.631,48.139,68.77,0.0,23,(Indie Publisher),indie,4.51,2.99,6096,376
283,genre fiction,"Amazon Digital Services,  Inc.",167.28,167.28,836.4,501.84,136,(Small or Medium Publisher),small/medium,4.31,6.15,675,16
284,genre fiction,"Amazon Digital Services,  Inc.",12.87,6.93,19.8,0.0,20,(Indie Publisher),indie,4.81,0.99,7396,27
285,nonfiction,"Amazon Digital Services,  Inc.",17.628,17.628,88.14,52.884,13,(Small or Medium Publisher),small/medium,4.57,6.78,15969,21
286,nonfiction,Hachette Book Group,1.998,1.998,9.99,5.994,1,Hyperion,big five,4.69,9.99,89606,124
287,nonfiction,Penguin Group (USA) LLC,11.186,11.186,55.93,33.558,7,Plume,big five,4.14,7.99,39832,127
288,genre fiction,"Amazon Digital Services,  Inc.",70.1415,37.7685,107.91,0.0,109,(Indie Publisher),indie,4.34,0.99,1153,49
289,nonfiction,Random House LLC,168.128,168.128,840.64,504.384,71,Harmony,big five,4.34,11.84,2947,2294
290,children,"Amazon Digital Services,  Inc.",5.7915,3.1185,8.91,0.0,9,(Indie Publisher),indie,0.0,0.99,33537,0
291,nonfiction,Macmillan,22.372,22.372,111.86,67.116,14,St. Martin's Griffin,big five,4.59,7.99,11080,99
292,nonfiction,"Amazon Digital Services,  Inc.",13.986,13.986,69.93,41.958,7,(Single-Author Publisher),single author,4.25,9.99,40649,27
293,nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,3.86,0.99,17383,45
294,nonfiction,Random House LLC,19.98,19.98,99.9,59.94,10,Anchor,big five,4.42,9.99,28577,115
295,children,"Amazon Digital Services,  Inc.",5.382,12.558,17.94,0.0,6,(Indie Publisher),indie,4.69,2.99,45539,162
296,children,Penguin Group (USA) LLC,15.386,15.386,76.93,46.158,7,Kathy Dawson Books,big five,0.0,10.99,41867,0
297,genre fiction,"Amazon Digital Services,  Inc.",14.364,14.364,71.82,43.092,18,(Single-Author Publisher),single author,4.88,3.99,8234,9
298,nonfiction,"Amazon Digital Services,  Inc.",44.736,44.736,223.68,134.208,24,(Single-Author Publisher),single author,4.79,9.32,5560,358
299,genre fiction,"Amazon Digital Services,  Inc.",140.448,140.448,702.24,421.344,176,(Single-Author Publisher),single author,4.89,3.99,497,1819
300,nonfiction,Macmillan,24.892,24.892,124.46,74.676,14,Picador,big five,3.79,8.89,12904,277
301,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Small or Medium Publisher),small/medium,4.73,9.99,72694,65
302,genre fiction,"Amazon Digital Services,  Inc.",12.304,12.304,61.52,36.912,8,(Small or Medium Publisher),small/medium,4.32,7.69,34058,230
303,fiction,"Amazon Digital Services,  Inc.",3.772,3.772,18.86,11.316,2,(Small or Medium Publisher),small/medium,4.91,9.43,75004,23
304,nonfiction,Penguin Group (USA) LLC,14.352,14.352,71.76,43.056,12,Berkley,big five,4.19,5.98,21783,201
305,nonfiction,Simon and Schuster Digital Sales Inc,16.608,16.608,83.04,49.824,8,Touchstone,big five,3.98,10.38,36753,64
306,nonfiction,"Amazon Digital Services,  Inc.",15.312,15.312,76.56,45.936,8,(Small or Medium Publisher),small/medium,4.04,9.57,35649,964
307,genre fiction,"Amazon Digital Services,  Inc.",22.176,22.176,110.88,66.528,112,(Single-Author Publisher),single author,0.0,0.99,1036,0
308,nonfiction,"Amazon Digital Services,  Inc.",31.176,31.176,155.88,93.528,12,(Small or Medium Publisher),small/medium,4.72,12.99,21790,172
309,genre fiction,Macmillan,50.316,50.316,251.58,150.948,42,Tor Books,big five,3.4,5.99,4547,670
310,genre fiction,"Amazon Digital Services,  Inc.",12.974,12.974,64.87,38.922,13,(Small or Medium Publisher),small/medium,4.03,4.99,16065,28
311,comics,"Amazon Digital Services,  Inc.",23.976,23.976,119.88,71.928,12,(Small or Medium Publisher),small/medium,4.0,9.99,19442,1
312,nonfiction,"Amazon Digital Services,  Inc.",11.97,11.97,59.85,35.91,3,(Single-Author Publisher),single author,5.0,19.95,63736,3
313,genre fiction,"Amazon Digital Services,  Inc.",0.792,0.792,3.96,2.376,4,(Single-Author Publisher),single author,4.68,0.99,54832,50
314,nonfiction,"Amazon Digital Services,  Inc.",8.97,20.93,29.9,0.0,10,(Indie Publisher),indie,4.45,2.99,26492,11
315,nonfiction,"Amazon Digital Services,  Inc.",7.494,7.494,37.47,22.482,3,(Small or Medium Publisher),small/medium,4.45,12.49,68822,31
316,nonfiction,Macmillan,3.556,3.556,17.78,10.668,2,Henry Holt and Co.,big five,4.4,8.89,87248,25
317,nonfiction,Random House LLC,28.416,28.416,142.08,85.248,12,Random House,big five,3.93,11.84,19071,16
318,genre fiction,Macmillan,95.68,95.68,478.4,287.04,160,Feiwel & Friends,big five,4.53,2.99,565,835
319,children,Simon and Schuster Digital Sales Inc,4.552,4.552,22.76,13.656,4,Simon Spotlight,big five,0.0,5.69,57066,0
320,nonfiction,Simon and Schuster Digital Sales Inc,193.6,193.6,968.0,580.8,100,Simon & Schuster,big five,3.47,9.68,1463,1041
321,nonfiction,"Amazon Digital Services,  Inc.",9.6525,5.1975,14.85,0.0,15,(Indie Publisher),indie,4.5,0.99,9778,8
322,comics,"Amazon Digital Services,  Inc.",9.584,9.584,47.92,28.752,8,(Single-Author Publisher),single author,4.91,5.99,37017,23
323,genre fiction,"Amazon Digital Services,  Inc.",1.452,1.452,7.26,4.356,2,(Small or Medium Publisher),small/medium,4.14,3.63,85205,7
324,nonfiction,Random House LLC,8.792,8.792,43.96,26.376,4,Doubleday,big five,3.2,10.99,55585,62
325,nonfiction,"Amazon Digital Services,  Inc.",8.982,8.982,44.91,26.946,9,(Small or Medium Publisher),small/medium,4.12,4.99,33085,110
326,genre fiction,Macmillan,15.574,15.574,77.87,46.722,13,St. Martin's Press,big five,4.1,5.99,17792,190
327,genre fiction,"Amazon Digital Services,  Inc.",29.302,29.302,146.51,87.906,49,(Single-Author Publisher),single author,4.72,2.99,4141,184
328,nonfiction,HarperCollins Publishers,7.816,7.816,39.08,23.448,4,William Morrow Paperbacks,big five,4.01,9.77,53235,251
329,children,Macmillan,0.946,0.946,4.73,2.838,1,Feiwel & Friends,big five,4.56,4.73,95006,23
330,nonfiction,"Amazon Digital Services,  Inc.",5.596,5.596,27.98,16.788,2,(Small or Medium Publisher),small/medium,4.17,13.99,79627,40
331,genre fiction,Macmillan,87.666,87.666,438.33,262.998,57,St. Martin's Press,big five,4.23,7.69,3686,539
332,nonfiction,Penguin Group (USA) LLC,4.792,4.792,23.96,14.376,4,DK Publishing,big five,4.23,5.99,57520,26
333,nonfiction,"Amazon Digital Services,  Inc.",6.752,6.752,33.76,20.256,4,(Small or Medium Publisher),small/medium,4.47,8.44,58124,21
334,nonfiction,"Amazon Digital Services,  Inc.",5.685,13.265,18.95,0.0,5,(Indie Publisher),indie,5.0,3.79,47915,5
335,nonfiction,"Amazon Digital Services,  Inc.",6.578,6.578,32.89,19.734,11,(Small or Medium Publisher),small/medium,3.57,2.99,23653,14
336,nonfiction,"Amazon Digital Services,  Inc.",13.842,13.842,69.21,41.526,9,(Small or Medium Publisher),small/medium,4.9,7.69,30815,40
337,nonfiction,Simon and Schuster Digital Sales Inc,12.456,12.456,62.28,37.368,6,Scribner,big five,4.69,10.38,44014,155
338,nonfiction,"Amazon Digital Services,  Inc.",3.594,3.594,17.97,10.782,3,(Small or Medium Publisher),small/medium,5.0,5.99,69139,3
339,nonfiction,"Amazon Digital Services,  Inc.",2.574,1.386,3.96,0.0,4,(Indie Publisher),indie,4.88,0.99,60687,9
340,genre fiction,"Amazon Digital Services,  Inc.",17.964,41.916,59.88,0.0,12,(Indie Publisher),indie,4.54,4.99,20705,11
341,genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.31,0.99,14176,283
342,nonfiction,HarperCollins Publishers,7.44,7.44,37.2,22.32,3,Harper,big five,4.3,12.4,62596,42
343,nonfiction,"Amazon Digital Services,  Inc.",2.394,5.586,7.98,0.0,2,(Indie Publisher),indie,4.84,3.99,75286,13
344,nonfiction,Simon and Schuster Digital Sales Inc,26.158,26.158,130.79,78.474,11,Simon & Schuster,big five,4.62,11.89,25028,69
345,nonfiction,"Amazon Digital Services,  Inc.",1.196,1.196,5.98,3.588,2,(Small or Medium Publisher),small/medium,3.56,2.99,87326,25
346,comics,DC Comics,0.792,0.792,3.96,2.376,4,(Small or Medium Publisher),small/medium,0.0,0.99,59056,0
347,nonfiction,"Amazon Digital Services,  Inc.",24.453,13.167,37.62,0.0,38,(Indie Publisher),indie,3.9,0.99,4772,112
348,genre fiction,"Amazon Digital Services,  Inc.",52.668,122.892,175.56,0.0,44,(Indie Publisher),indie,4.76,3.99,4395,82
349,genre fiction,"Amazon Digital Services,  Inc.",36.754,36.754,183.77,110.262,23,(Small or Medium Publisher),small/medium,4.78,7.99,6053,90
350,nonfiction,Macmillan,23.114,23.114,115.57,69.342,13,"Farrar, Straus and Giroux",big five,4.24,8.89,14391,227
351,nonfiction,"Amazon Digital Services,  Inc.",1.196,1.196,5.98,3.588,2,(Small or Medium Publisher),small/medium,4.23,2.99,85078,13
352,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Small or Medium Publisher),small/medium,3.89,9.99,65916,94
353,nonfiction,"Amazon Digital Services,  Inc.",25.6,25.6,128.0,76.8,8,(Small or Medium Publisher),small/medium,4.4,16.0,37787,5
354,nonfiction,"Amazon Digital Services,  Inc.",8.991,20.979,29.97,0.0,3,(Indie Publisher),indie,4.18,9.99,74057,11
355,nonfiction,"Amazon Digital Services,  Inc.",6.792,6.792,33.96,20.376,2,(Small or Medium Publisher),small/medium,2.48,16.98,83066,29
356,genre fiction,Penguin Group (USA) LLC,356.354,356.354,1781.77,1069.062,223,NAL,big five,4.59,7.99,404,30
357,nonfiction,"Amazon Digital Services,  Inc.",2.691,6.279,8.97,0.0,3,(Indie Publisher),indie,0.0,2.99,63543,0
358,children,Penguin Group (USA) LLC,5.98,5.98,29.9,17.94,5,Grosset & Dunlap,big five,4.61,5.98,49623,18
359,genre fiction,"Amazon Digital Services,  Inc.",22.743,53.067,75.81,0.0,19,(Indie Publisher),indie,4.7,3.99,8168,67
360,nonfiction,"Amazon Digital Services,  Inc.",17.22,17.22,86.1,51.66,10,(Small or Medium Publisher),small/medium,4.16,8.61,26248,62
361,comics,"Amazon Digital Services,  Inc.",21.072,21.072,105.36,63.216,12,(Small or Medium Publisher),small/medium,4.14,8.78,20427,34
362,genre fiction,"Amazon Digital Services,  Inc.",4.788,11.172,15.96,0.0,4,(Indie Publisher),indie,4.58,3.99,59287,36
363,nonfiction,"Amazon Digital Services,  Inc.",2.574,1.386,3.96,0.0,4,(Indie Publisher),indie,3.25,0.99,58326,4
364,nonfiction,"Amazon Digital Services,  Inc.",30.336,30.336,151.68,91.008,16,(Small or Medium Publisher),small/medium,4.29,9.48,9241,331
365,nonfiction,Random House LLC,50.288,50.288,251.44,150.864,28,Anchor,big five,4.08,8.98,5294,1814
366,children,"Amazon Digital Services,  Inc.",1.794,1.794,8.97,5.382,1,(Small or Medium Publisher),small/medium,5.0,8.97,97216,1
367,nonfiction,"Amazon Digital Services,  Inc.",6.435,3.465,9.9,0.0,10,(Indie Publisher),indie,3.71,0.99,28268,46
368,nonfiction,"Amazon Digital Services,  Inc.",5.514,5.514,27.57,16.542,3,(Small or Medium Publisher),small/medium,3.89,9.19,70760,49
369,nonfiction,"Amazon Digital Services,  Inc.",13.972,13.972,69.86,41.916,14,(Single-Author Publisher),single author,4.08,4.99,11575,59
370,genre fiction,"Amazon Digital Services,  Inc.",7.98,7.98,39.9,23.94,10,(Single-Author Publisher),single author,4.44,3.99,27061,321
371,comics,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Single-Author Publisher),single author,4.15,2.99,50569,13
372,genre fiction,"Amazon Digital Services,  Inc.",32.292,32.292,161.46,96.876,54,(Single-Author Publisher),single author,4.2,2.99,3873,1496
373,genre fiction,"Amazon Digital Services,  Inc.",7.032,7.032,35.16,21.096,12,(Small or Medium Publisher),small/medium,4.33,2.93,19788,15
374,genre fiction,"Amazon Digital Services,  Inc.",10.696,10.696,53.48,32.088,14,(Small or Medium Publisher),small/medium,4.5,3.82,13063,10
375,genre fiction,"Amazon Digital Services,  Inc.",20.349,47.481,67.83,0.0,17,(Indie Publisher),indie,4.8,3.99,8943,36
376,nonfiction,"Amazon Digital Services,  Inc.",6.9,6.9,34.5,20.7,2,(Small or Medium Publisher),small/medium,4.53,17.25,79720,13
377,genre fiction,"Amazon Digital Services,  Inc.",14.352,33.488,47.84,0.0,16,(Indie Publisher),indie,4.24,2.99,9518,33
378,genre fiction,"Amazon Digital Services,  Inc.",22.954,22.954,114.77,68.862,23,(Small or Medium Publisher),small/medium,4.1,4.99,6304,76
379,nonfiction,Random House LLC,2.398,2.398,11.99,7.194,1,Anchor,big five,4.4,11.99,89414,52
380,children,Random House LLC,7.668,7.668,38.34,23.004,9,Random House Books for Young Readers,big five,4.78,4.26,33876,14
381,nonfiction,"Amazon Digital Services,  Inc.",3.588,8.372,11.96,0.0,4,(Indie Publisher),indie,4.76,2.99,55218,17
382,fiction,"Amazon Digital Services,  Inc.",1551.84,1551.84,7759.2,4655.52,915,(Small or Medium Publisher),small/medium,3.82,8.48,117,388
383,nonfiction,HarperCollins Christian Publishing,12.93,12.93,64.65,38.79,5,Thomas Nelson,big five,4.54,12.93,47174,181
384,foreign language,"Amazon Digital Services,  Inc.",0.598,0.598,2.99,1.794,1,(Small or Medium Publisher),small/medium,0.0,2.99,92520,0
385,nonfiction,Simon and Schuster Digital Sales Inc,198.428,198.428,992.14,595.284,113,Simon & Schuster,big five,3.51,8.78,1011,94
386,nonfiction,Hachette Book Group,30.912,30.912,154.56,92.736,14,Grand Central Life & Style,big five,0.0,11.04,10769,0
387,nonfiction,"Amazon Digital Services,  Inc.",11.988,11.988,59.94,35.964,6,(Small or Medium Publisher),small/medium,4.09,9.99,43805,50
388,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Single-Author Publisher),single author,4.75,9.99,69439,64
389,nonfiction,HarperCollins Publishers,9.592,9.592,47.96,28.776,4,HarperCollins e-books,big five,4.16,11.99,54879,97
390,children,Penguin Group (USA) LLC,3.588,3.588,17.94,10.764,3,Speak,big five,4.16,5.98,68516,18
391,genre fiction,"Amazon Digital Services,  Inc.",22.5225,12.1275,34.65,0.0,35,(Indie Publisher),indie,4.11,0.99,4897,79
392,nonfiction,"Amazon Digital Services,  Inc.",8.97,8.97,44.85,26.91,15,(Single-Author Publisher),single author,4.47,2.99,9893,95
393,nonfiction,"Amazon Digital Services,  Inc.",1.386,1.386,6.93,4.158,7,(Single-Author Publisher),single author,4.31,0.99,40211,111
394,children,"Amazon Digital Services,  Inc.",2.396,2.396,11.98,7.188,2,(Single-Author Publisher),single author,4.42,5.99,77560,47
395,genre fiction,"Amazon Digital Services,  Inc.",1.936,1.936,9.68,5.808,2,(Small or Medium Publisher),small/medium,4.54,4.84,82112,59
396,children,Hachette Book Group,1.364,1.364,6.82,4.092,2,LB Kids,big five,4.5,3.41,80639,14
397,nonfiction,"Amazon Digital Services,  Inc.",7.192,7.192,35.96,21.576,2,(Small or Medium Publisher),small/medium,0.0,17.98,84041,0
398,genre fiction,"Amazon Digital Services,  Inc.",32.934,76.846,109.78,0.0,22,(Indie Publisher),indie,4.35,4.99,6452,101
399,fiction,"Amazon Digital Services,  Inc.",63.7065,34.3035,98.01,0.0,99,(Indie Publisher),indie,4.31,0.99,1537,283
400,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Small or Medium Publisher),small/medium,4.27,9.99,74045,18
401,children,Random House LLC,2.392,2.392,11.96,7.176,2,Knopf Books for Young Readers,big five,4.71,5.98,84410,21
402,genre fiction,Random House LLC,15.984,15.984,79.92,47.952,8,Bantam Dell,big five,4.11,9.99,35549,109
403,nonfiction,"Amazon Digital Services,  Inc.",25.176,25.176,125.88,75.528,12,(Small or Medium Publisher),small/medium,4.42,10.49,18363,373
404,genre fiction,"Amazon Digital Services,  Inc.",11.976,11.976,59.88,35.928,12,(Single-Author Publisher),single author,0.0,4.99,18497,0
405,genre fiction,Penguin Group (USA) LLC,2.198,2.198,10.99,6.594,1,Ace,big five,4.3,10.99,99666,20
406,nonfiction,HarperCollins Publishers,90.06,90.06,450.3,270.18,95,Harper,big five,4.37,4.74,1733,580
407,genre fiction,"Amazon Digital Services,  Inc.",3.056,3.056,15.28,9.168,4,(Small or Medium Publisher),small/medium,5.0,3.82,62110,13
408,genre fiction,"Amazon Digital Services,  Inc.",0.792,0.792,3.96,2.376,4,(Single-Author Publisher),single author,4.28,0.99,56005,7
